City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
76,Flinders,AU,72.81,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
81,Shasta Lake,US,76.82,clear sky,40.6804,-122.3708,Shasta Dam Motel
83,Port Lincoln,AU,71.47,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
88,Codrington,AU,78.71,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
89,Mareeba,AU,76.44,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
92,Emerald,AU,76.33,clear sky,-23.5333,148.1667,The Irish Village
94,Banda Aceh,ID,77.31,scattered clouds,5.5577,95.3222,Sulthan Hotel International
99,Faanui,PF,81.12,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
101,Duayaw Nkwanta,GH,74.39,broken clouds,7.1724,-2.1028,Royal Land Hotel
103,San Rafael,AR,74.5,clear sky,-34.6177,-68.3301,Hotel San Rafael
105,Fare,PF,81.5,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
111,Lasem,ID,76.41,light rain,-6.6922,111.4527,"Nyah Lasem | Museum, Warung & Community Center"
112,East London,ZA,75.79,clear sky,-33.0153,27.9116,Tu Casa
113,Nanakuli,US,80.71,few clouds,21.3906,-158.1547,Camp Pālehua
114,Atuona,PF,77.58,light rain,-9.8,-139.0333,Villa Enata
118,Kavaratti,IN,80.4,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
119,Mahibadhoo,MV,80.47,overcast clouds,3.7833,72.9667,Omadhoo Inn
121,Kruisfontein,ZA,71.47,light rain,-34.0033,24.7314,Oyster Bay House Rental
122,Itoman,JP,70.18,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
123,Polewali,ID,74.17,light rain,-3.4324,119.3435,Lilianto Hotel
127,Cutler Ridge,US,81.01,clear sky,25.5783,-80.3377,Maritza ITS
130,Arraial Do Cabo,BR,73.26,light intensity drizzle,-22.9661,-42.0278,Pousada Porto Praia
133,Mbour,SN,70.65,scattered clouds,14.422,-16.9638,Tama Lodge
137,Morondava,MG,81.73,light rain,-20.2833,44.2833,La Case Bambou
140,Puerto Ayora,EC,85.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
141,Paita,PE,76.5,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
143,Catia La Mar,VE,84.4,few clouds,10.6038,-67.0303,HOTEL PLAYA GRANDE CARIBE
144,Souillac,MU,80.98,light intensity shower rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
145,Saint George,US,70.27,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
148,Hithadhoo,MV,80.98,overcast clouds,-0.6,73.0833,Scoop Guest House
156,Kapaa,US,78.48,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
157,Nhulunbuy,AU,81.21,clear sky,-12.2333,136.7667,East Arnhem Real Estate
159,Pacific Grove,US,85.59,clear sky,36.6177,-121.9166,Lovers Point Inn
163,Santa Fe,AR,76.75,broken clouds,-31.6333,-60.7,Conquistador Hotel
166,Tra Vinh,VN,77.45,broken clouds,9.9347,106.3453,Hồng Ân
172,Sao Felix Do Xingu,BR,72.14,light rain,-6.6447,-51.995,Rio Xingu Camping
173,Santa Rosa,PH,79.11,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
178,General Roca,AR,84.6,scattered clouds,-39.0333,-67.5833,Hotel y Casino del Río General Roca
179,Mildura,AU,80.08,broken clouds,-34.2,142.15,Mercure Hotel Mildura
181,Hualmay,PE,73.9,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
184,Bengkulu,ID,75.24,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
186,Ballina,AU,71.78,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
187,Kununurra,AU,78.78,scattered clouds,-15.7667,128.7333,Hotel Kununurra
192,Simao Dias,BR,77.22,broken clouds,-10.7383,-37.8111,Pousada Simãodiense
200,Half Moon Bay,US,82.9,scattered clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
203,Pangkalanbuun,ID,73.45,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
204,Vanimo,PG,77.56,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
210,Coihaique,CL,84.81,scattered clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
213,Sumenep,ID,75.74,overcast clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
215,Central Point,US,72.9,clear sky,42.376,-122.9164,Courtyard by Marriott Medford Airport
217,Finschhafen,PG,80.56,overcast clouds,-6.6024,147.8681,Cossam Guest House
219,Majene,ID,75.7,light rain,-3.5403,118.9707,Kost Putri RABBANI
221,Impfondo,CG,76.84,few clouds,1.6381,18.0667,Auberge La Place de Jules
222,Berekum,GH,79.61,broken clouds,7.4534,-2.584,Nyame Nnae Hotel
224,Ukiah,US,79.97,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
226,Qui Nhon,VN,73.74,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
227,Mahebourg,MU,80.89,light intensity shower rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
228,Diamantino,BR,76.28,heavy intensity rain,-14.4086,-56.4461,Hotel Delta
