City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
116,Westport,US,41.1415,-73.3579,55.44,45,0,10.0,clear sky
117,Yar-Sale,RU,66.8333,70.8333,-8.84,93,100,14.92,overcast clouds
118,Kavaratti,IN,10.5669,72.642,80.4,70,13,7.47,few clouds
119,Mahibadhoo,MV,3.7833,72.9667,80.47,75,100,2.89,overcast clouds
120,Aykhal,RU,66.0,111.5,-8.27,88,93,4.16,overcast clouds
121,Kruisfontein,ZA,-34.0033,24.7314,71.47,92,96,9.91,light rain
122,Itoman,JP,26.1247,127.6694,70.18,78,75,11.5,broken clouds
123,Polewali,ID,-3.4324,119.3435,74.17,89,100,2.37,light rain
124,Ahipara,NZ,-35.1667,173.1667,69.73,71,72,21.61,broken clouds
125,Poum,NC,-20.2333,164.0167,81.43,73,100,4.7,overcast clouds
126,Klaksvik,FO,62.2266,-6.589,40.12,85,92,2.33,overcast clouds
127,Cutler Ridge,US,25.5783,-80.3377,81.01,77,0,11.5,clear sky
128,Kaitangata,NZ,-46.2817,169.8464,53.92,85,100,10.67,overcast clouds
129,Camargo,MX,27.6667,-105.1667,62.22,22,0,17.38,clear sky
130,Arraial Do Cabo,BR,-22.9661,-42.0278,73.26,94,75,0.0,light intensity drizzle
131,Broome,US,42.2506,-75.833,36.18,68,100,11.5,overcast clouds
132,Lebu,CL,-37.6167,-73.65,64.9,69,23,11.3,few clouds
133,Mbour,SN,14.422,-16.9638,70.65,38,33,12.97,scattered clouds
134,Komarno,SK,47.7636,18.1226,35.26,70,2,7.7,clear sky
135,Wloclawek,PL,52.6482,19.0678,29.41,67,69,8.72,broken clouds
136,Nikolskoye,RU,59.7035,30.7861,36.72,97,100,12.03,light snow
137,Morondava,MG,-20.2833,44.2833,81.73,83,100,5.21,light rain
138,Tasiilaq,GL,65.6145,-37.6368,10.56,65,100,4.5,overcast clouds
139,Namie,JP,37.4833,141.0,36.77,82,99,5.12,overcast clouds
140,Puerto Ayora,EC,-0.7393,-90.3518,85.96,85,92,5.01,overcast clouds
141,Paita,PE,-5.0892,-81.1144,76.5,69,100,13.0,overcast clouds
142,Tiksi,RU,71.6872,128.8694,-8.25,89,93,14.0,overcast clouds
143,Catia La Mar,VE,10.6038,-67.0303,84.4,70,20,2.3,few clouds
